,gu_party_id,dunsnumber,company,company_name,city,city_name,state,state_or_province_name,address,line_1_address,country,Map_address
0,328958773,744919899,GCPH AUSTRALIA PTY LTD,GCPH AUSTRALIA PTY LTD,PERTH,PERTH,WA,WA,80 STIRLING STREET,80 STIRLING ST,AUSTRALIA,69
1,91574590,559108922,BANK ALBILAD,BANK ALBILAD,RIYADH,RIYADH,,,"STEEN STREET, AL MALAZ, P.O. BOX 140",BANK ALBILAD HEAD OFFICE SITTEEN ST AL-MALAZ DISTR,SAUDI ARABIA,53
5,7167971,558409133,CHANEL,CHANEL,,,,,?1 MANAMA CENTER,,BAHRAIN,0
7,43151126,559146975,ABU DHABI INTERNATIONAL AIRPORT,ABU DHABI INTERNATIONAL AIRPORT,ABU DHABI,ABU DHABI,,,SHEIK MAKTOUM BIN RASHID RD,SHEIK MAKTOUM BIN RASHID ROAD AIRPORT TERMINAL APRON LEVEL,UNITED ARAB EMIRATES,64
9,96561,315108236,BAYERNWERK NETZ GMBH,BAYERNWERK NETZ GMBH,BAYREUTH,BAYREUTH,,,BERNECKER STR. 70,LUITPOLDPLATZ 5,GERMANY,13
10,204267070,557753626,JEDDAH ECONOMIC COMPANY,JEDDAH ECONOMIC COMPANY,JEDDAH,JEDDAH,,,PRINCE SULTAN ROAD,"JEDDAH,SA",SAUDI ARABIA,37
11,265837718,725546621,SIR RATAN TATA TRUST,SIR RATAN TATA TRUST,MUMBAI,MUMBAI,MH,MH,"24, BOMBAY HOUSE,",BOMBAY HOUSE,INDIA,89
12,315454578,872305868,FIRST ABU DHABI BANK PJSC,FIRST ABU DHABI BANK PJSC,MUMBAI,MUMBAI,MH,MH,UNIT NO 1101 AND 1201 PLATINA BUILDING,"UNNAMED ROAD, G BLOCK BKC, MMRDA AREA, BANDRA KURLA COMPLEX, BANDRA EAST, MUMBAI, MAHARASHTRA 40009",INDIA,29
15,281922030,863461637,TVS CREDIT SERVICES LIMITED,TVS CREDIT SERVICES LIMITED,CHENNAI,CHENNAI,TN,TN,"JAYALAKSHMI ESTATES, THIRD FLOOR","JAYALAKSHMI ESTATES, THIRD FLOOR,",INDIA,100
16,303222328,243454472,REXALL PHARMACY GROUP LTD,REXALL PHARMACY GROUP LTD,MISSISSAUGA,MISSISSAUGA,ON,ON,3221 DERRY RD W SUITE 16,2ND FLOOR - 335 BRITANNIA RD E,CANADA,31
17,308386311,80862138,JUSDA SUPPLY CHAIN MANAGEMENT CORPORATION,JUSDA SUPPLY CHAIN MANAGEMENT CORPORATION,DIAMOND BAR,DIAMOND BAR,CA,CA,21700 COPLEY DR STE 100,21700 COPLEY DR,USA,79
19,180075696,203876657,SOBEYS,SOBEYS,MISSISSAUGA,MISSISSAUGA,ON,ON,2458 DUNDAS ST W,3206 ORLANDO DR,CANADA,32
21,334118812,80241034,CLARIOS,CLARIOS,SAN ANTONIO,SAN ANTONIO,TX,TX,5680 E HOUSTON ST,5050 STOUT DR,USA,53
22,317302555,313588967,SEG AUTOMOTIVE GERMANY GMBH,SEG AUTOMOTIVE GERMANY GMBH,STUTTGART,STUTTGART,,,LOTTERBERGSTR. 30,BOERSENSTR. 4,GERMANY,57
26,282442195,577142912,BRITISH STEEL FRANCE RAIL,BRITISH STEEL FRANCE RAIL,HAYANGE,HAYANGE,,,164 RUE DU MARECHAL FOCH,164 R MARECHAL FOCH,FRANCE,88
27,157393782,7374744,GOLDEN TREE ASSET MANAGEMENT,GOLDEN TREE ASSET MANAGEMENT,NEW YORK,NEW YORK,NY,NY,485 LEXINGTON AVE,300 PARK AVE,USA,34
28,144109617,109861223,TTEC,TTEC,ORLANDO,ORLANDO,FL,FL,3600 ECOMMERCE PL,3402 SHADER RD,USA,32
30,4662106,437489222,BPER BANCA SPA,BPER BANCA SPA,MODENA,MODENA,MO,MO,VIA SAN CARLO 8/20,V ARISTOTELE 195,ITALY,35
32,276760123,557849918,FLY ADEAL COMPANY,FLY ADEAL COMPANY,JEDDAH,JEDDAH,,,"UNIT NO: 2, BUILDING 7852, AL MUHAMADIYAH",UNIT NO 2 BUILDING 7852 AL MUHAMADIYAH,SAUDI ARABIA,100
34,231880243,435389100,KERING EYEWEAR SPA,KERING EYEWEAR SPA,PADOVA,PADOVA,PD,PD,VIA ALTICHIERO 180,V ALTICHIERO 180,ITALY,94
35,282955361,315004531,MHWIRTH GMBH,MHWIRTH GMBH,ERKELENZ,ERKELENZ,,,KÖLNER STR. 71-73,KOELNER STR. 71-73,GERMANY,94
36,1970093,246350834,CLARICA,CLARICA,WATERLOO,WATERLOO,ON,ON,485 HUNTERSWOOD CRT,227 KING STREET SOUTH STN WATE,CANADA,24
37,315486547,3569865,CORE & MAIN LP,CORE & MAIN LP,THOMASVILLE,THOMASVILLE,GA,GA,1828 METCALF AVE,1820 METCALF AVE,USA,94
38,11861242,32739207,BGI LLC,BGI LLC,SULLIVANS ISLAND,SULLIVANS ISLAND,SC,SC,1651 POE AVE,PO BOX 897,USA,36
39,275952195,768242240,SAFRAN HELICOPTER ENGINES,SAFRAN HELICOPTER ENGINES,TARNOS,TARNOS,,,ZONE INDUSTRIELLE,5 AVENUE DU 1ER MAI,FRANCE,22
41,281426874,265831698,SAFRAN NACELLES,SAFRAN NACELLES,COLOMIERS,COLOMIERS,,,SAFRAN NACELLES,33 AV JEAN MONNET,FRANCE,25
42,327802366,757867858,CORONADO CURRAGH PTY LTD,CORONADO CURRAGH PTY LTD,BRISBANE,BRISBANE,QLD,QLD,L 31 CENTRAL PLZA 1 345 QUEEN ST,LEVEL 33 CENTRAL PLAZA 345,AUSTRALIA,69
43,323471133,269238863,ORANO PROJETS,ORANO PROJETS,MONTIGNY LE BRETONNEUX,MONTIGNY LE BRETONNEUX,,,1 RUE DES HERONS,1 R DES HERONS,FRANCE,93
